deal_id,funded_amount,funded_date,industry_id
a4Gf1000000nS78EAE,17000,3/22/2018,3
a4Gf1000000nS7FEAU,23000,10/29/2018,3
a4Gf1000000nS7HEAU,6000,12/11/2020,4
a4Gf1000000nS7KEAU,25000,3/31/2018,2
a4Gf1000000nS7NEAU,20000,9/26/2018,3
a4Gf1000000nS7QEAU,4200,4/3/2019,3
a4Gf1000000nS7TEAU,8800,7/23/2020,1
a4Gf1000000nS7VEAU,7900,4/19/2020,3
a4Gf1000000nS7aEAE,14000,1/25/2019,4
a4Gf1000000nS7bEAE,25000,4/27/2019,3
a4Gf1000000nS7dEAE,30000,6/3/2019,4
a4Gf1000000nS7eEAE,20000,4/2/2018,4
a4Gf1000000nS7gEAE,2500,11/8/2020,4
a4Gf1000000nS7jEAE,8000,4/29/2020,4
a4Gf1000000nS7lEAE,2500,6/30/2020,4
a4Gf1000000nS7pEAE,5500,8/30/2019,2
a4Gf1000000nSL8EAM,8800,6/23/2020,1
a4Gf1000000nSLGEA2,8000,9/18/2019,2
a4Gf1000000nSLJEA2,35000,4/16/2019,1
a4Gf1000000nSLNEA2,18000,10/21/2018,2
a4Gf1000000nSLQEA2,12000,10/2/2020,3
a4Gf1000000nSLREA2,3000,12/6/2019,2
a4Gf1000000nSLbEAM,8500,3/7/2018,3
a4Gf1000000nSLfEAM,21000,8/14/2019,1
a4Gf1000000nSLgEAM,6000,6/13/2020,2
a4Gf1000000nSLiEAM,16000,4/25/2018,4
a4Gf1000000nSLkEAM,13000,5/31/2019,4
a4Gf1000000nSLpEAM,35000,8/22/2020,2
a4Gf1000000nSLsEAM,2500,11/11/2019,4
a4Gf1000000nSLwEAM,12000,11/29/2018,1
a4Gf1000000nSM6EAM,3500,10/1/2018,3
a4Gf1000000nSM7EAM,22000,6/10/2020,2
a4Gf1000000nSM8EAM,35000,3/29/2018,3
a4Gf1000000nSMFEA2,7500,5/10/2018,4
a4Gf1000000nSMGEA2,22000,7/27/2018,1
a4Gf1000000nSMJEA2,10800,12/22/2018,3
a4Gf1000000nSMLEA2,18500,12/18/2020,4
a4Gf1000000nSMNEA2,35000,12/25/2018,4
a4Gf1000000nSMPEA2,5000,10/6/2020,2
a4Gf1000000nSMSEA2,3000,7/13/2019,2
a4Gf1000000nSMaEAM,8000,3/9/2019,3
a4Gf1000000nSMfEAM,13000,6/3/2018,3
a4Gf1000000nSMkEAM,8500,8/16/2019,2
a4Gf1000000nSMmEAM,10000,9/28/2018,2
a4Gf1000000nSMnEAM,12000,5/15/2020,1
a4Gf1000000nSMoEAM,25000,4/20/2019,4
a4Gf1000000nSMtEAM,11000,11/26/2018,1
a4Gf1000000nSMuEAM,7000,1/16/2020,4
a4Gf1000000nSN1EAM,40000,5/16/2019,2
a4Gf1000000nSN4EAM,5600,10/4/2020,1
a4Gf1000000nSN6EAM,12000,3/29/2018,2
a4Gf1000000nSNCEA2,28000,8/11/2020,1
a4Gf1000000nSNEEA2,5500,1/25/2018,2
a4Gf1000000nSNFEA2,3200,11/5/2019,4
a4Gf1000000nSNGEA2,12500,10/22/2020,3
a4Gf1000000nSNIEA2,17000,7/11/2018,2
a4Gf1000000nSNNEA2,3000,11/14/2020,3
a4Gf1000000nSNPEA2,2500,8/1/2018,3
a4Gf1000000nSNREA2,10000,12/7/2018,4
a4Gf1000000nSNaEAM,16000,7/22/2018,2
a4Gf1000000nSNiEAM,23000,8/15/2019,2
a4Gf1000000nSNoEAM,40000,2/22/2018,4
a4Gf1000000nSNpEAM,30000,7/19/2018,2
a4Gf1000000nSNsEAM,15000,2/18/2019,4
a4Gf1000000nSO2EAM,10000,10/8/2019,3
a4Gf1000000nSO6EAM,125000,6/27/2020,4
a4Gf1000000nSOAEA2,15000,5/10/2019,1
a4Gf1000000nSOEEA2,5600,1/8/2018,2
a4Gf1000000nSOFEA2,30000,7/10/2020,4
a4Gf1000000nSOHEA2,4500,11/28/2018,4
a4Gf1000000nSOIEA2,10000,10/1/2019,2
a4Gf1000000nSOLEA2,10000,8/4/2018,2
a4Gf1000000nSOcEAM,10000,1/22/2018,3
a4Gf1000000nSOdEAM,35000,7/31/2020,2
a4Gf1000000nSOeEAM,5600,5/20/2020,4
a4Gf1000000nSOjEAM,12000,9/2/2020,1
a4Gf1000000nSOkEAM,2500,3/17/2018,2
a4Gf1000000nSOlEAM,7500,4/22/2020,2
a4Gf1000000nSOmEAM,4000,1/29/2020,1
a4Gf1000000nSOpEAM,5300,11/5/2019,2
a4Gf1000000nSOuEAM,8800,12/22/2019,4
a4Gf1000000nSOxEAM,2000,3/4/2020,2
a4Gf1000000nSOyEAM,150000,3/28/2019,4
a4Gf1000000nSP0EAM,4000,10/23/2019,1
a4Gf1000000nSP1EAM,12000,1/1/2020,2
a4Gf1000000nSP4EAM,8800,8/3/2020,2
a4Gf1000000nSP5EAM,20000,2/11/2019,2
a4Gf1000000nSPAEA2,6600,10/16/2020,3
a4Gf1000000nSPBEA2,21000,6/13/2019,3
a4Gf1000000nSPDEA2,15000,1/16/2019,4
a4Gf1000000nSPGEA2,2200,4/22/2020,4
a4Gf1000000nSPHEA2,25000,11/16/2019,1
a4Gf1000000nSPKEA2,10000,7/14/2020,2
a4Gf1000000nSPOEA2,8800,10/22/2018,2
a4Gf1000000nSPUEA2,3000,8/5/2018,4
a4Gf1000000nSPWEA2,12000,5/12/2018,2
a4Gf1000000nSPXEA2,2800,12/29/2020,3
a4Gf1000000nSPaEAM,15000,12/23/2018,1
a4Gf1000000nSPcEAM,19500,10/3/2018,1
a4Gf1000000nSPfEAM,22000,6/7/2019,4
a4Gf1000000nSPmEAM,25000,1/16/2018,4
a4Gf1000000nSQ3EAM,7500,12/18/2019,1
a4Gf1000000nSQ4EAM,12000,4/22/2020,4
a4Gf1000000nSQ5EAM,22000,12/13/2020,1
a4Gf1000000nSQAEA2,5500,8/14/2020,2
a4Gf1000000nSQKEA2,46000,3/7/2020,4
a4Gf1000000nSQLEA2,4500,6/4/2019,4
a4Gf1000000nSQOEA2,9500,10/21/2018,4
a4Gf1000000nSQQEA2,35000,1/11/2020,1
a4Gf1000000nSQVEA2,45000,2/12/2020,2
a4Gf1000000nSQZEA2,3500,12/21/2019,3
a4Gf1000000nSQbEAM,1500,9/14/2018,4
a4Gf1000000nSQdEAM,8000,12/7/2020,1
a4Gf1000000nSQnEAM,35000,9/24/2018,3
a4Gf1000000nSQpEAM,20000,2/26/2018,2
a4Gf1000000nSQuEAM,5600,3/27/2020,3
a4Gf1000000nSR5EAM,12000,12/21/2019,2
a4Gf1000000nSR8EAM,11000,9/12/2020,2
a4Gf1000000nSR9EAM,150000,12/13/2019,1
a4Gf1000000nSRCEA2,15000,10/4/2020,3
a4Gf1000000nSRIEA2,9000,8/20/2018,2
a4Gf1000000nSRSEA2,10000,8/12/2018,1
a4Gf1000000nSRTEA2,25000,8/23/2019,3
a4Gf1000000nSRaEAM,24500,12/24/2018,2
a4Gf1000000nSRbEAM,22000,6/29/2018,3
a4Gf1000000nSRlEAM,4000,12/9/2018,2
a4Gf1000000nSRnEAM,30000,11/27/2019,1
a4Gf1000000nSRtEAM,3000,3/17/2020,2
a4Gf1000000nSRyEAM,3000,6/5/2018,4
a4Gf1000000nSS4EAM,8800,7/15/2018,1
a4Gf1000000nSS5EAM,7800,10/16/2018,2
a4Gf1000000nSS6EAM,8000,7/28/2019,4
a4Gf1000000nSS8EAM,44000,10/4/2018,3
a4Gf1000000nSSBEA2,3500,5/21/2018,1
a4Gf1000000nSSEEA2,18000,8/16/2018,2
a4Gf1000000nSSGEA2,4500,6/17/2018,2
a4Gf1000000nSSMEA2,4000,3/21/2018,2
a4Gf1000000nSSNEA2,7500,7/14/2019,3
a4Gf1000000nSSPEA2,45000,3/15/2020,2
a4Gf1000000nSSQEA2,16000,12/15/2020,2
a4Gf1000000nSSREA2,25000,10/3/2019,2
a4Gf1000000nSSaEAM,10000,7/12/2020,2
a4Gf1000000nSSdEAM,10500,5/13/2019,1
a4Gf1000000nSSkEAM,6600,3/24/2019,4
a4Gf1000000nSSnEAM,33000,3/15/2018,1
a4Gf1000000nSSuEAM,11000,12/6/2019,4
a4Gf1000000nST0EAM,135000,1/7/2018,2
a4Gf1000000nST9EAM,25000,5/17/2018,2
a4Gf1000000nSTBEA2,11000,8/30/2019,4
a4Gf1000000nSTLEA2,16000,7/22/2020,1
